大类,部门名称,编制人数,本科生,研究生,留学生人数,在编-教师,公共课学分,公共课数量,预算约束人数
理,物理科学与工程学院,5,500,533,17,110,40.5,15,10
理,数学科学学院,5,467,257,16,82,101,22,7
理,化学科学与工程学院,6,260,395,5,65,30,12,7
理,海洋与地球科学学院,7,194,375,22,92,0,0,8
理,生命科学与技术学院,7,337,644,17,109,0,0,11
工,机械工程与机器人学院,9,991,759,51,62,23,8,16
工,测绘与地理信息学院,4,341,393,17,57,5,2,6
工,计算机科学与技术学院（软件学院）,10,1491,816,118,124,33.5,14,15
工,汽车与能源学院,9,1021,1132,13,118,0,0,13
工,材料科学与工程学院,8,491,688,16,92,2,1,11
工,电子与信息工程学院,12,1685,1201,163,219,14,5,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,14,375,1278,248,162,0,0,16
工,土木工程学院,22,882,2716,489,273,7,3,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18,975,1490,104,192,0,0,22
工,建筑与城市规划学院,17,822,1362,720,232,0,0,22
工,航空航天与力学学院,6,433,375,13,80,17,5,7
工,中德工程学院，职业技术教育学院,6,640,94,236,26,0,0,5
医,医学院,18,1227,2903,218,139,0,0,30
文,设计创意学院,8,470,322,181,55,0,0,8
文,人文学院,6,312,305,18,92,2,1,7
文,外国语学院,11,370,249,14,148,54,25,11
文,经济与管理学院,19,931,1240,558,168,2,1,21
文,政治与国际关系学院,3,211,204,67,46,0,0,4
文,艺术与传媒学院,6,618,258,85,75,6,2,7
文,上海国际知识产权学院,3,0,244,79,29,0,0,3
文,马克思主义学院,7,112,208,0,67,25,13,6
文,国际文化交流学院,4,99,23,886,24,0,0,4
文,法学院,5,324,238,42,52,0,0,4
文,体育部（国际足球学院）,10,225,119,9,93,0,0,8
