大类,部门名称,编制人数,本科生,研究生,在编-教师,预算约束人数
理,物理科学与工程学院,5,484,1031,96,10
理,数学科学学院,3,536,626,76,7
理,化学科学与工程学院,4,359,1095,66,7
理,海洋与地球科学学院,4,224,785,80,8
理,生命科学与技术学院,4,415,1014,93,11
工,机械工程与机器人学院,12,1487,3042,99,16
工,测绘与地理信息学院,4,446,719,48,6
工,计算机科学与技术学院（软件学院）,1,1099,3659,41,15
工,汽车与能源学院,4,1090,2515,264,13
工,材料科学与工程学院,6,608,1614,98,11
工,电子与信息工程学院,15,3050,6604,247,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,7,770,3482,306,16
工,土木工程学院,17,2382,9342,576,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,18,1462,4293,549,22
工,建筑与城市规划学院,17,1862,5393,210,22
工,航空航天与力学学院,3,443,617,71,7
工,中德工程学院，职业技术教育学院,8,670,698,58,5
医,医学院,11,1441,5520,137,30
文,设计创意学院,4,763,731,48,8
文,人文学院,4,519,863,88,7
文,外国语学院,9,555,610,156,11
文,经济与管理学院,22,2208,16729,173,21
文,政治与国际关系学院,4,278,485,46,4
文,艺术与传媒学院,4,1038,476,70,7
文,上海国际知识产权学院,1,0,315,25,3
文,马克思主义学院,5,94,1272,66,6
文,国际文化交流学院,5,207,115,25,4
文,法学院,3,389,1710,47,4
文,体育部（国际足球学院）,10,154,164,184,8
