大类,部门名称,编制人数,本科生,研究生,在编-教师,预算约束人数
理,物理科学与工程学院,6,506,557,99,10
理,数学科学学院,4,478,331,78,7
理,化学科学与工程学院,5,311,439,66,7
理,海洋与地球科学学院,5,220,399,82,8
理,生命科学与技术学院,6,360,703,96,11
工,机械工程与机器人学院,10,1280,1202,97,16
工,测绘与地理信息学院,5,341,389,49,6
工,计算机科学与技术学院（软件学院）,8,1575,1050,116,15
工,汽车与能源学院,8,865,1438,273,13
工,材料科学与工程学院,5,573,820,91,11
工,电子与信息工程学院,11,1749,1877,188,20
工,环境科学与工程学院，联合国环境规划署-同济大学环境与可持续发展学院,11,486,1598,308,16
工,土木工程学院,18,1232,3420,574,33
工,交通学院（铁道与城市轨道交通研究院），未减去磁浮中心的数量,19,1142,1767,372,22
工,建筑与城市规划学院,18,1289,1585,213,22
工,航空航天与力学学院,4,450,388,72,7
工,中德工程学院，职业技术教育学院,8,555,449,60,5
医,医学院,11,1460,3569,137,30
文,设计创意学院,6,589,432,51,8
文,人文学院,5,382,696,91,7
文,外国语学院,10,436,377,154,11
文,经济与管理学院,20,1537,5430,164,21
文,政治与国际关系学院,4,261,394,48,4
文,艺术与传媒学院,7,830,281,73,7
文,上海国际知识产权学院,3,0,337,25,3
文,马克思主义学院,7,111,1176,70,6
文,国际文化交流学院,4,201,124,24,4
文,法学院,4,348,896,45,4
文,体育部（国际足球学院）,13,203,161,190,8
